StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q1_1;Q1_2;Q1_3;Q1_4;Q1_5;Q1_6;Q1_7;Q1_8;Q2_1;Q2_2;Q2_3;Q2_4;Q2_5;Q2_6;Q2_7;Q2_8;Q3_1;Q3_2;Q3_3;Q3_4;Q3_5;Q3_6;Q3_7;Q3_8;Q4_1;Q4_2;Q4_3;Q4_4;Q4_5;Q4_6;Q4_7;Q4_8;Q5_1;Q5_2;Q5_3;Q5_4;Q5_5;Q5_6;Q5_7;Q5_8
2025-06-02 16:40:38;2025-06-02 16:51:01;IP Address;85.223.42.104;100;623;TRUE;2025-06-02 16:51:02;R_8L4QIHQ793Up2ed;;;;;52.3907;4.8637;anonymous;EN;8;3;5;1;7;2;4;6;8;6;5;4;7;1;2;3;6;1;5;4;2;3;7;8;3;2;1;4;6;8;7;5;3;4;1;2;8;7;6;5
2025-06-02 16:46:07;2025-06-02 16:54:47;IP Address;138.124.61.34;100;520;TRUE;2025-06-02 16:54:47;R_8q3dZ5oEdvRVFuS;;;;;50.1169;8.6837;anonymous;EN;7;1;5;2;4;6;8;3;8;6;3;5;7;1;2;4;7;1;5;4;3;2;6;8;1;7;2;3;4;6;5;8;6;1;7;3;8;5;4;2
2025-06-02 16:51:27;2025-06-02 16:58:00;IP Address;62.60.237.52;100;393;TRUE;2025-06-02 16:58:01;R_8A13DuAzfLs0fYG;;;;;60.1719;24.9347;anonymous;EN;4;2;7;1;5;3;8;6;2;3;1;7;4;6;5;8;8;1;7;2;3;4;6;5;2;3;4;1;5;8;7;6;7;8;3;2;5;1;4;6
2025-06-02 16:45:19;2025-06-02 17:01:15;IP Address;84.115.220.140;100;956;TRUE;2025-06-02 17:01:16;R_8ml8GpsIpDFcUC7;;;;;48.2133;16.2966;anonymous;EN;1;8;3;4;7;5;6;2;7;1;2;3;6;4;5;8;2;3;7;6;4;1;5;8;3;5;1;7;4;8;6;2;3;6;1;2;8;5;4;7
2025-06-02 16:57:24;2025-06-02 17:14:20;IP Address;77.119.214.25;100;1015;TRUE;2025-06-02 17:14:20;R_8PaZk5tnxz4PEUg;;;;;48.2169;16.4997;anonymous;EN;8;4;5;1;3;2;7;6;5;1;3;4;7;6;2;8;4;6;1;5;2;3;7;8;1;3;5;2;4;8;6;7;3;4;6;2;8;5;7;1
2025-06-02 17:23:42;2025-06-02 17:32:23;IP Address;180.149.46.27;100;520;TRUE;2025-06-02 17:32:23;R_2exdH2gx0yZjywc;;;;;45.4722;9.1922;anonymous;EN;6;8;4;3;7;5;1;2;4;5;6;1;7;2;3;8;4;6;5;3;2;1;7;8;1;5;4;6;2;8;7;3;7;4;5;3;8;6;2;1
2025-06-02 17:28:48;2025-06-02 17:35:22;IP Address;123.98.160.17;100;394;TRUE;2025-06-02 17:35:23;R_9tEkaeSSJFXdqUX;;;;;37.4909;127.0452;anonymous;EN;6;3;2;5;1;8;7;4;3;6;4;7;2;5;8;1;4;5;1;3;6;2;7;8;4;6;5;1;2;7;8;3;1;8;6;2;7;5;4;3
2025-06-02 17:44:29;2025-06-02 17:44:54;IP Address;185.200.107.220;100;25;TRUE;2025-06-02 17:44:56;R_20vnRkU4ZbIJIeS;;;;;52.3824;4.8995;anonymous;EN;1;2;5;3;4;6;7;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025-06-02 17:43:17;2025-06-02 17:46:35;IP Address;95.216.211.208;100;197;TRUE;2025-06-02 17:46:35;R_24nRjdGoQdSe3yj;;;;;60.1719;24.9347;anonymous;EN;2;3;8;4;1;5;7;6;5;7;3;6;8;2;1;4;6;3;2;5;4;1;8;7;1;8;3;2;7;4;5;6;7;2;4;6;1;5;3;8
2025-06-02 16:26:10;2025-06-02 18:01:32;IP Address;178.115.38.62;100;5722;TRUE;2025-06-02 18:01:33;R_2qsJaWiU9HGwQOu;;;;;48.217;16.3944;anonymous;EN;8;3;5;1;2;4;6;7;7;8;2;3;5;1;4;6;5;2;6;3;1;4;8;7;1;6;5;2;3;8;7;4;1;2;6;4;8;5;7;3
2025-06-02 18:09:55;2025-06-02 18:14:53;IP Address;46.135.10.0;100;297;TRUE;2025-06-02 18:14:54;R_8G8O0kQGw4O7vfS;;;;;50.0471;14.4523;anonymous;EN;;;;;;;;;7;8;5;1;4;6;3;2;5;1;7;2;3;4;6;8;1;7;3;2;6;8;4;5;3;1;2;4;7;8;5;6
2025-06-02 18:06:59;2025-06-02 18:20:28;IP Address;185.202.207.24;100;809;TRUE;2025-06-02 18:20:28;R_2TYw9KXTd45aKKQ;;;;;40.4172;-3.684;anonymous;EN;1;2;5;3;7;8;6;4;3;4;7;8;2;5;6;1;5;3;4;2;6;7;8;1;1;3;2;5;6;7;8;4;5;6;1;4;8;7;3;2
2025-06-02 19:07:21;2025-06-02 19:12:17;IP Address;178.165.206.171;100;296;TRUE;2025-06-02 19:12:17;R_20wLOppvOCXQkVJ;;;;;48.1535;16.3855;anonymous;EN;8;2;5;1;3;7;4;6;6;3;4;1;8;2;5;7;7;3;1;2;4;6;8;5;1;5;8;7;4;2;3;6;2;7;3;8;4;6;5;1
2025-06-02 19:15:30;2025-06-02 19:19:54;IP Address;31.12.0.178;100;263;TRUE;2025-06-02 19:19:54;R_8nIysCy7EJ5SQtX;;;;;48.1951;16.3483;anonymous;EN;7;2;3;6;1;8;5;4;3;2;1;4;8;5;7;6;7;4;2;6;1;5;3;8;3;6;4;5;1;8;7;2;5;3;4;1;7;8;2;6
2025-06-02 19:55:02;2025-06-02 20:00:23;IP Address;185.200.107.201;100;320;TRUE;2025-06-02 20:00:23;R_2dqdRdVH1pwULsJ;;;;;52.3824;4.8995;anonymous;EN;6;1;2;4;7;8;3;5;6;7;2;5;1;4;3;8;1;2;6;5;3;4;7;8;1;2;5;3;4;8;7;6;1;5;2;3;8;4;6;7
2025-06-02 20:30:55;2025-06-02 20:33:15;IP Address;2.56.204.120;100;139;TRUE;2025-06-02 20:33:15;R_8OnDXHtkeAkITEB;;;;;40.1814;44.5102;anonymous;EN;1;4;5;3;6;7;8;2;;;;;;;;;;;;;;;;;1;2;3;4;5;7;8;6;1;7;2;3;4;8;5;6
2025-06-02 21:14:45;2025-06-02 21:20:35;IP Address;38.180.253.188;100;349;TRUE;2025-06-02 21:20:35;R_8WBFbbp9KetvxVD;;;;;44.4291;26.1006;anonymous;EN;5;8;6;2;1;7;3;4;;;;;;;;;5;3;6;4;2;7;8;1;7;6;3;4;1;8;5;2;2;3;1;4;5;6;7;8
2025-06-02 21:57:18;2025-06-02 21:59:15;IP Address;31.143.87.243;100;117;TRUE;2025-06-02 21:59:16;R_9WUc4FyQoQEZE1o;;;;;38.4957;27.1261;anonymous;EN;1;3;2;7;4;8;5;6;1;2;3;4;7;5;6;8;;;;;;;;;1;2;3;8;6;4;5;7;8;1;2;6;3;4;5;7
2025-06-02 22:18:50;2025-06-02 22:24:33;IP Address;80.110.43.200;100;342;TRUE;2025-06-02 22:24:34;R_811uLApjKRvg8DV;;;;;48.1535;16.3855;anonymous;EN;7;3;4;2;6;8;1;5;4;6;5;7;2;8;3;1;3;2;8;5;4;1;6;7;1;2;3;4;5;7;8;6;1;4;5;2;7;8;3;6
2025-06-02 22:51:33;2025-06-02 22:59:04;IP Address;137.208.130.216;100;450;TRUE;2025-06-02 22:59:05;R_8Hu08ktP0F5GfsJ;;;;;48.1535;16.3855;anonymous;EN;8;4;3;2;7;6;5;1;6;7;3;1;2;5;4;8;6;5;2;1;3;4;8;7;8;6;3;7;2;4;5;1;3;8;2;6;5;7;4;1
2025-06-03 11:53:48;2025-06-03 11:57:14;IP Address;65.21.52.80;100;206;TRUE;2025-06-03 11:57:15;R_2jOOdzcH36DW7h7;;;;;60.1719;24.9347;anonymous;EN;4;1;2;3;5;8;6;7;4;5;3;6;8;2;7;1;4;3;2;6;1;5;7;8;2;5;6;7;3;8;1;4;4;5;8;3;6;7;2;1
