StartDate;EndDate;Status;IPAddress;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;S1_Q1: Select;S1_Q2;S2_Q3;S2_Q4;S3_Q5;S3_Q6;S4_Q7;S4_Q8;S5_Q9;S5_Q10;Context Q1;Age;Job;Residence;Education;Profession;Media
2025-06-10 12:43:19;2025-06-10 12:48:41;IP Address;84.225.133.113;100;321;TRUE;2025-06-10 12:48:41;R_2lPjJ9h0J5PHAqZ;;;;;47.5;19.0412;anonymous;EN;Image 2,Image 5;Image 1,Image 4;Image 2,Image 3,Image 4;Image 1,image 3,image 5;Image 6;Image 2,Image 3;Image 4,Image 5,Image 6;Image 3,Image 4,Image 5;Image 5,Image 6;Image 3,Image 6;Feature 1 (News bars),Feature 5 (Highlighted circle with zoomed-in detail);23;Data analyst ;Hungary;Master’s degree;Data science / AI Engineering ;Twitter/X,Telegram
2025-06-10 12:59:27;2025-06-10 13:06:09;IP Address;178.165.163.136;100;402;TRUE;2025-06-10 13:06:10;R_8OnLQR0kDrqaaMp;;;;;48.2169;16.4997;anonymous;EN;Image 1,Image 2,Image 4,Image 6;Image 1,Image 4,Image 5,Image 6;Image 2,Image 3,Image 4,Image 5;Image 1,image 3,image 5;Image 1,Image 3,Image 5,Image 6;Image 3,Image 4;Image 1,Image 2,Image 4,Image 5,Image 6;Image 1,Image 3,Image 4;Image 1,Image 4,Image 6;Image 3,Image 6;Feature 1 (News bars),Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks);19;Student;Vienna, Austria;High school diploma or equivalent;Business law;Newspaper/Online Articles,Podcasts,Instagram,TikTok,Youtube,TV/Online TV,Radio
2025-06-10 13:16:39;2025-06-10 13:32:02;IP Address;91.141.52.127;100;923;TRUE;2025-06-10 13:32:03;R_8oolnfCypLWAXrr;;;;;48.2133;16.2966;anonymous;EN;Image 2,Image 6;Image 3,Image 5;Image 2,Image 3,Image 4;Image 1,image 5;Image 1,Image 3,Image 6;Image 2,Image 4;Image 4,Image 6;Image 3,Image 4;Image 1,Image 4,Image 6;Image 3,Image 6;Feature 1 (News bars),Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 5 (Highlighted circle with zoomed-in detail);23;Student;Vienna;High school diploma or equivalent;Education ;Newspaper/Online Articles,Instagram,TV/Online TV
2025-06-10 13:41:49;2025-06-10 13:52:13;IP Address;109.93.187.219;100;623;TRUE;2025-06-10 13:52:14;R_8erGICNxnhAT2S0;;;;;44.8046;20.4637;anonymous;EN;Image 4;Image 2;Image 3;image 5;Image 6;Image 3,Image 6;Image 2,Image 4,Image 5;Image 1,Image 4;Image 1;Image 4,Image 6;Feature 1 (News bars);25;Manager;Serbia;High school diploma or equivalent;IT;Podcasts,Instagram,Youtube,Telegram
2025-06-10 13:49:58;2025-06-10 13:58:58;IP Address;195.181.164.56;100;540;TRUE;2025-06-10 13:58:59;R_2RruSk7EPYp78lM;;;;;51.5081;-0.1278;anonymous;EN;Image 5,Image 6;Image 3,Image 4;Image 2;Image 2;Image 3,Image 6;Image 3;Image 4,Image 6;Image 3,Image 4;Image 1;Image 6;Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);24;Science;Russia;Bachelor’s degree;;Telegram
2025-06-10 17:27:15;2025-06-10 17:36:51;IP Address;57.129.25.73;100;576;TRUE;2025-06-10 17:36:51;R_2pyzzUQ0yBcSvlf;;;;;50.1162;8.6693;anonymous;EN;Image 3,Image 6;Image 2,Image 3;Image 1,Image 3,Image 5,Image 6;Image 2,Image 6;Image 1,Image 2,Image 3,Image 4,Image 5,Image 6;Image 3;Image 1,Image 3,Image 4,Image 6;Image 1,Image 3,Image 4,Image 5,Image 6;Image 1,Image 2,Image 4,Image 5,Image 6;Image 3,Image 4,Image 5,Image 6;Feature 1 (News bars);28;;;Bachelor’s degree;;Telegram
2025-06-10 17:39:53;2025-06-10 17:43:25;IP Address;84.115.226.202;100;212;TRUE;2025-06-10 17:43:25;R_8cSoXidLovHEprW;;;;;48.1535;16.3855;anonymous;EN;Image 4;Image 6;Image 4;Image 1;Image 3;Image 2,Image 3;Image 4,Image 6;Image 4;Image 1,Image 5,Image 6;Image 1,Image 3,Image 6;Feature 3 (Date and time stamps),Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);23;Student;Austria;Bachelor’s degree;Business;Telegram
2025-06-10 17:46:01;2025-06-10 17:56:01;IP Address;185.202.207.24;100;600;TRUE;2025-06-10 17:56:02;R_8ipOwyl9bcvBZYr;;;;;40.4172;-3.684;anonymous;EN;Image 1,Image 4,Image 6;Image 2,Image 4,Image 5,Image 6;Image 1,Image 3,Image 4,Image 6;Image 1,Image 4;Image 3,Image 5,Image 6;Image 1,Image 2,Image 3;Image 2,Image 4,Image 6;Image 1,Image 4;Image 1,Image 4,Image 5;Image 1,Image 3,Image 4,Image 6;Feature 1 (News bars),Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 4 (Simple outline);23;IT;Russia;Bachelor’s degree;;Newspaper/Online Articles,TV/Online TV,Telegram
2025-06-10 18:00:11;2025-06-10 18:11:42;IP Address;137.208.216.100;100;691;TRUE;2025-06-10 18:11:43;R_2M3T4C1yHhqHXIT;;;;;48.2031;16.3527;anonymous;EN;Image 1,Image 2,Image 4,Image 6;Image 1,Image 2,Image 3,Image 5,Image 6;Image 2,Image 3,Image 4;Image 1,image 3,image 5;Image 1,Image 3,Image 5,Image 6;Image 2,Image 3;Image 4,Image 6;Image 3,Image 4;Image 1,Image 4,Image 6;Image 3,Image 5;Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 3 (Date and time stamps);23;Business Analyst;Vienna;Bachelor’s degree;Information Systems;Newspaper/Online Articles,Youtube,TV/Online TV,Telegram
2025-06-10 18:48:38;2025-06-10 18:58:55;IP Address;185.204.52.35;100;616;TRUE;2025-06-10 18:58:55;R_8aXZb4mprZ9Dxf1;;;;;51.9968;4.2057;anonymous;EN;Image 2,Image 4,Image 5;Image 3,Image 6;Image 1,Image 3;Image 1,image 5;Image 2,Image 3,Image 5,Image 6;Image 2,Image 3,Image 5;Image 2,Image 4;Image 3,Image 4;Image 2,Image 4,Image 5;Image 3,Image 4,Image 6;Feature 1 (News bars),Feature 3 (Date and time stamps),Feature 5 (Highlighted circle with zoomed-in detail);25;job;russia;Bachelor’s degree;IT;Newspaper/Online Articles,Instagram,Youtube,Telegram
2025-06-10 20:28:00;2025-06-10 20:34:32;IP Address;194.110.114.252;100;391;TRUE;2025-06-10 20:34:32;R_8e21BlvLvnYgsOA;;;;;52.1574;21.0126;anonymous;EN;Image 5;Image 2,Image 4;Image 1,Image 3;Image 1,Image 6;Image 2,Image 6;Image 6;Image 4;Image 3,Image 4;Image 4,Image 5;Image 6;Feature 1 (News bars);21;Moscow;russia;Master’s degree;medicine;Podcasts,Twitter/X,Instagram,Youtube,Radio,Telegram
2025-06-10 22:27:37;2025-06-10 22:35:30;IP Address;79.127.249.236;100;473;TRUE;2025-06-10 22:35:31;R_2hQmumn79G1jHRn;;;;;59.3287;18.0717;anonymous;EN;Image 1,Image 3,Image 4;Image 2,Image 6;Image 1,Image 4;Image 1,Image 2;Image 3,Image 6;Image 2,Image 3;Image 2,Image 6;Image 1,Image 4;Image 1,Image 5;Image 3,Image 4;Feature 1 (News bars);37;Engineer ;Yes;Bachelor’s degree;Construction ;Telegram
2025-06-10 22:33:40;2025-06-10 22:39:16;IP Address;197.253.225.94;100;336;TRUE;2025-06-10 22:39:17;R_81EQQkN6u3CKBJF;;;;;33.5922;-7.6184;anonymous;EN;Image 2;Image 4;Image 3;image 5;Image 5;Image 4;Image 4,Image 6;Image 4;Image 1,Image 6;Image 4,Image 6;Feature 1 (News bars),Feature 3 (Date and time stamps),Feature 5 (Highlighted circle with zoomed-in detail);22;Russia;Russia;Master’s degree;Marketing ;Newspaper/Online Articles,Instagram,Telegram
2025-06-10 22:43:40;2025-06-10 22:51:25;IP Address;185.200.107.201;100;464;TRUE;2025-06-10 22:51:25;R_8feZ05hklcOQZ4c;;;;;52.3824;4.8995;anonymous;EN;Image 1,Image 4;Image 4,Image 5,Image 6;Image 3;Image 4,image 5,Image 6;Image 2,Image 3,Image 6;Image 2,Image 5;Image 4,Image 5;Image 1,Image 3,Image 4;Image 1,Image 4,Image 5;Image 2,Image 3,Image 5,Image 6;Feature 5 (Highlighted circle with zoomed-in detail);23;Student;Moscow, Russia;Bachelor’s degree;Statistical biology ;Instagram,Youtube,Telegram
2025-06-11 07:26:21;2025-06-11 07:28:59;IP Address;213.142.97.188;100;158;TRUE;2025-06-11 07:29:00;R_8lFHyk5n6rEGkEl;;;;;48.1968;16.3191;anonymous;EN;Image 2;Image 4;Image 3;image 5;Image 3;Image 5;Image 6;Image 1;Image 1;Image 4;Feature 4 (Simple outline);24;Employee;Austria;Bachelor’s degree;Finance;Newspaper/Online Articles,Instagram,Youtube
2025-06-11 16:30:05;2025-06-11 16:38:24;IP Address;180.149.46.25;100;499;TRUE;2025-06-11 16:38:25;R_2B0Y5uELSdnQ9hv;;;;;45.4722;9.1922;anonymous;EN;Image 3,Image 5;Image 3;Image 2,Image 4;Image 1,image 5;Image 1,Image 3;Image 2;Image 4,Image 6;Image 3;Image 4,Image 6;Image 3,Image 6;Feature 4 (Simple outline);24;student ;Russia ;High school diploma or equivalent;medicine ;Youtube,Telegram
2025-06-12 20:36:00;2025-06-12 20:42:14;IP Address;185.193.158.55;100;373;TRUE;2025-06-12 20:42:14;R_8RpkcwmwOfHsHuN;;;;;52.3759;4.8975;anonymous;EN;Image 1,Image 6;Image 1,Image 4;Image 1,Image 3;Image 1,image 5;Image 2,Image 5;Image 1;Image 2;Image 3,Image 4;Image 4;Image 1,Image 3;Feature 4 (Simple outline);18;Ппним;Прроои;Bachelor’s degree;Пепп;Instagram,Youtube
2025-06-12 20:35:40;2025-06-12 20:45:04;IP Address;188.253.27.37;100;563;TRUE;2025-06-12 20:45:04;R_8otBozeDdmi3yMV;;;;;52.3862;4.7506;anonymous;EN;Image 2,Image 6;Image 1,Image 3,Image 4;Image 1,Image 3;Image 1,image 3,image 5;Image 2,Image 4;Image 2,Image 3,Image 6;Image 1,Image 6;Image 3,Image 4;Image 4,Image 6;Image 5,Image 6;Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks);18;student ;Russia;High school diploma or equivalent;;Newspaper/Online Articles,Podcasts,Instagram,TikTok,Youtube,Telegram
2025-06-12 20:19:01;2025-06-12 20:53:40;IP Address;62.99.164.14;100;2079;TRUE;2025-06-12 20:53:41;R_8M7nTrSmz9FH3Md;;;;;48.1933;16.3727;anonymous;EN;Image 1,Image 3,Image 4;Image 2,Image 4;Image 4,Image 6;Image 2,Image 4;Image 3,Image 5,Image 6;Image 2,Image 3,Image 6;Image 4,Image 6;Image 1,Image 4;Image 1,Image 4,Image 5,Image 6;Image 2,Image 3,Image 4,Image 5;Feature 1 (News bars),Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks);62;retired;Russia;Bachelor’s degree;civil engineer;Newspaper/Online Articles,TV/Online TV,Radio,Telegram
2025-06-12 21:06:08;2025-06-12 21:14:44;IP Address;62.99.164.14;100;515;TRUE;2025-06-12 21:14:44;R_8XmjlwEyZ2Y48o1;;;;;48.1933;16.3727;anonymous;EN;Image 1,Image 4;Image 1,Image 3,Image 4;Image 1,Image 2,Image 3;Image 1,image 5;Image 1,Image 3,Image 5;Image 1,Image 4;Image 1,Image 4,Image 6;Image 1,Image 3,Image 4;Image 1,Image 3,Image 4,Image 5,Image 6;Image 3,Image 5,Image 6;Feature 4 (Simple outline);21;Student;Austria;;;Newspaper/Online Articles,Youtube
2025-06-13 07:44:47;2025-06-13 07:55:19;IP Address;41.66.98.34;100;632;TRUE;2025-06-13 07:55:20;R_8LnzTvTNtzNc3j6;;;;;48.2169;16.4997;anonymous;EN;Image 2;Image 3,Image 4;Image 2,Image 3;image 3,image 5;Image 3,Image 5,Image 6;Image 3,Image 4,Image 5;Image 4,Image 5,Image 6;Image 1,Image 3,Image 4;Image 1,Image 4,Image 6;Image 3,Image 5,Image 6;Feature 3 (Date and time stamps),Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);26;Legal employee at district court ;Vienna;Master’s degree;Law;Newspaper/Online Articles,Youtube
2025-06-13 07:45:20;2025-06-13 08:24:36;IP Address;62.93.165.11;100;2355;TRUE;2025-06-13 08:24:37;R_4P0ZGwxDHZQMYFa;;;;;50.0883;14.4124;anonymous;EN;Image 3,Image 4,Image 6;Image 1,Image 3,Image 6;Image 2,Image 5;Image 2,image 3;Image 1,Image 3,Image 6;Image 1,Image 3,Image 4;Image 2,Image 3,Image 6;Image 1,Image 4,Image 5,Image 6;Image 1,Image 3,Image 5,Image 6;Image 3,Image 4,Image 5;Feature 3 (Date and time stamps),Feature 5 (Highlighted circle with zoomed-in detail);47;Working;Litva;High school diploma or equivalent;Pricing in construction;Youtube,Telegram
2025-06-13 09:33:12;2025-06-13 09:37:02;IP Address;64.238.203.67;100;230;TRUE;2025-06-13 09:37:03;R_2pXKQXRD738hPM4;;;;;50.0971;8.5952;anonymous;EN;Image 3;Image 4;Image 1,Image 2,Image 4,Image 6;Image 2,image 3,image 5,Image 6;Image 2,Image 4,Image 6;Image 2,Image 4,Image 5;Image 3,Image 5;Image 2,Image 4,Image 5;Image 2,Image 3,Image 4,Image 5;Image 2,Image 3,Image 4,Image 5;Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 3 (Date and time stamps);46;;;Master’s degree;;Facebook,Instagram,Youtube,TV/Online TV
2025-06-15 10:19:23;2025-06-15 10:22:45;IP Address;89.144.203.252;100;202;TRUE;2025-06-15 10:22:45;R_8iLkTALAFSd6Pb5;;;;;48.1982;16.3917;anonymous;EN;Image 2;Image 1;Image 3;image 3;Image 5;Image 6;Image 4;Image 1;Image 1;Image 2,Image 6;Feature 4 (Simple outline);27;Student;Vienna;Master’s degree;Law;Newspaper/Online Articles,TV/Online TV
2025-06-15 10:40:39;2025-06-15 10:51:05;IP Address;80.187.84.41;100;625;TRUE;2025-06-15 10:51:06;R_2JgRXQMd7VLSZhv;;;;;59.3032;18.1566;anonymous;EN;Image 1,Image 5,Image 6;;Image 2,Image 3,Image 4;Image 1,image 3,image 5;Image 2,Image 5,Image 6;Image 2,Image 3;Image 4,Image 6;Image 1,Image 3,Image 4;Image 4,Image 6;Image 2,Image 3,Image 6;Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);25;Computer Scientist ;Germany ;Bachelor’s degree;Business Informatics/ Software Engineering ;Newspaper/Online Articles,Podcasts,Instagram,Youtube
2025-06-15 11:02:31;2025-06-15 11:08:23;IP Address;213.225.33.81;100;351;TRUE;2025-06-15 11:08:24;R_2koleo3LQBcU6Yh;;;;;48.1535;16.3855;anonymous;EN;Image 2,Image 3,Image 4,Image 6;Image 2,Image 3,Image 4,Image 5;Image 3,Image 4,Image 6;Image 2,image 3,Image 4,Image 6;Image 2,Image 3,Image 6;Image 2,Image 3,Image 6;Image 3,Image 4,Image 6;Image 2,Image 3,Image 4;Image 1,Image 3,Image 5;Image 1,Image 3,Image 4,Image 6;Feature 1 (News bars),Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);27;Marketing;Vienna;Master’s degree;Marketing;Newspaper/Online Articles,Instagram,TikTok,Radio
2025-06-15 11:06:03;2025-06-15 11:10:41;IP Address;83.64.154.154;100;277;TRUE;2025-06-15 11:10:41;R_2ZBNa9elmAcovJQ;;;;;48.0082;16.2242;anonymous;EN;Image 2;Image 2,Image 4;Image 3,Image 6;image 5;;Image 3;Image 1,Image 5;Image 3,Image 4;Image 5;Image 6;Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);24;Student;Vienna;Bachelor’s degree;Art Industry;Newspaper/Online Articles,Podcasts,Instagram,TikTok,Youtube,TV/Online TV
2025-06-15 10:44:05;2025-06-15 11:13:50;IP Address;146.59.111.210;100;1784;TRUE;2025-06-15 11:13:50;R_8v3ctOksA5QBDYw;;;;;51.5081;-0.1278;anonymous;EN;Image 1,Image 6;Image 2;Image 1,Image 6;Image 2;Image 1,Image 5;Image 2,Image 4;Image 3,Image 4;Image 1,Image 4;Image 1,Image 6;Image 4,Image 6;Feature 1 (News bars),Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 3 (Date and time stamps);38;;Russia;Master’s degree;;Instagram,Youtube,Telegram
2025-06-15 11:07:48;2025-06-15 11:17:53;IP Address;213.142.96.87;100;604;TRUE;2025-06-15 11:17:53;R_25yy0LLeq3HQQqS;;;;;48.1535;16.3855;anonymous;EN;Image 1,Image 2;Image 2,Image 3,Image 5;Image 3,Image 4;image 3,Image 6;Image 1,Image 5,Image 6;Image 4,Image 5;Image 1,Image 3,Image 4,Image 5;Image 3,Image 5;Image 1,Image 2,Image 3;Image 4;Feature 4 (Simple outline);21;;;High school diploma or equivalent;Electronics;Instagram
2025-06-15 11:16:03;2025-06-15 11:21:00;IP Address;213.147.163.231;100;297;TRUE;2025-06-15 11:21:01;R_8J7JKPVkvVDoMuZ;;;;;48.2342;16.325;anonymous;EN;Image 5;Image 1;Image 3;image 3;Image 2;Image 2;Image 4;Image 5;Image 6;Image 3,Image 5;Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks);27;Sales;Vienna;Master’s degree;International Business;Twitter/X,Instagram,TikTok,Youtube
2025-06-15 11:44:50;2025-06-15 11:50:37;IP Address;41.66.99.198;100;346;TRUE;2025-06-15 11:50:37;R_8dFttgRSDU8qZFM;;;;;48.2169;16.4997;anonymous;EN;Image 1,Image 5,Image 6;Image 2,Image 3,Image 4;Image 3,Image 4;Image 1,image 3,image 5;Image 2,Image 6;Image 2,Image 3,Image 5;Image 4,Image 6;Image 1,Image 3,Image 4;Image 1,Image 5,Image 6;Image 3,Image 6;Feature 1 (News bars),Feature 5 (Highlighted circle with zoomed-in detail);24;Student ;Austria;Bachelor’s degree;Digital Economy;Newspaper/Online Articles,Telegram
2025-06-15 11:53:42;2025-06-15 12:07:09;IP Address;41.66.98.175;100;806;TRUE;2025-06-15 12:07:10;R_8joJZ4Y4nzpeBjC;;;;;48.2169;16.4997;anonymous;EN;Image 4,Image 5;Image 2,Image 5,Image 6;Image 3;Image 1,Image 6;Image 2,Image 6;Image 2,Image 3,Image 5;Image 4,Image 6;Image 1,Image 4,Image 5;Image 1,Image 4,Image 6;Image 1,Image 2,Image 3,Image 6;Feature 1 (News bars);65;councellor;vienna;Master’s degree;therapist;Podcasts,Youtube,TV/Online TV
2025-06-10 09:02:57;2025-06-15 12:29:03;IP Address;79.127.142.15;100;444366;TRUE;2025-06-15 12:29:03;R_2wKyhcLxgnx891j;;;;;50.0883;14.4124;anonymous;EN;Image 3;Image 3,Image 5;Image 3;image 5;Image 4,Image 5;Image 3,Image 5;Image 4,Image 6;Image 3,Image 4,Image 5,Image 6;Image 3,Image 4,Image 5;Image 3,Image 5;Feature 3 (Date and time stamps);24;;;Bachelor’s degree;;Newspaper/Online Articles,TikTok,Telegram
2025-06-15 12:37:35;2025-06-15 12:43:33;IP Address;185.164.32.139;100;358;TRUE;2025-06-15 12:43:34;R_2TmETc73KFvGJJd;;;;;44.1678;17.6563;anonymous;EN;Image 2,Image 3,Image 4;Image 1,Image 2,Image 3,Image 6;Image 1,Image 2;image 3;Image 1,Image 3,Image 5,Image 6;Image 2,Image 3,Image 4,Image 5,Image 6;Image 2,Image 3,Image 4;Image 3,Image 4,Image 5,Image 6;Image 1,Image 3,Image 5;Image 3,Image 6;Feature 1 (News bars),Feature 4 (Simple outline),Feature 5 (Highlighted circle with zoomed-in detail);24;manager ;Russia;Bachelor’s degree;fashion marketing ;Newspaper/Online Articles,Telegram
2025-06-15 12:40:20;2025-06-15 12:45:56;IP Address;62.99.135.46;100;335;TRUE;2025-06-15 12:45:56;R_2Cvb3caHbaADnDv;;;;;47.712;16.0383;anonymous;EN;Image 1,Image 5;Image 2,Image 3;Image 2,Image 3;image 3,image 5;Image 5,Image 6;Image 1,Image 4;Image 3,Image 4,Image 5;Image 1,Image 4;Image 3,Image 6;Image 3,Image 4;Feature 1 (News bars),Feature 4 (Simple outline);24;Student ;Vienna;Bachelor’s degree;Economics;Newspaper/Online Articles,Facebook,Instagram,TikTok
2025-06-15 13:02:06;2025-06-15 13:08:33;IP Address;172.225.38.77;100;386;TRUE;2025-06-15 13:08:33;R_2rosfeomfW1hVlB;;;;;48.2049;16.3662;anonymous;EN;Image 2,Image 4,Image 6;Image 3,Image 5;Image 2,Image 3,Image 4;Image 1,image 5;Image 1,Image 5,Image 6;Image 2,Image 3;Image 4,Image 5,Image 6;Image 3,Image 4,Image 6;Image 2,Image 6;Image 5;Feature 1 (News bars),Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks);26;Pride raver ;Austria ;Master’s degree;Public policy ;Newspaper/Online Articles,Podcasts,Twitter/X,Instagram
2025-06-15 13:36:07;2025-06-15 13:41:27;IP Address;213.162.73.4;100;319;TRUE;2025-06-15 13:41:27;R_2YcvOO6oKygZwMp;;;;;47.0833;15.5667;anonymous;EN;;;;image 5,Image 6;Image 1,Image 6;Image 3,Image 6;Image 2,Image 3,Image 6;Image 1,Image 4;Image 1,Image 5;Image 6;Feature 2 (Official watermarks, e.g. police stamps, magazine/journals watermarks),Feature 3 (Date and time stamps);26;Student;Vienna;Master’s degree;Engineering;Newspaper/Online Articles,Podcasts,Twitter/X,Instagram,Youtube
